Component,Description,McMaster Part # (if applicable),Category,Unit Qty,Pkg. Qty,Bulk Qty,Bulk Parts Cost,Unit Cost,Subtotal (Bulk Parts Cost) ,Subtotal (Unit Parts Cost),Sourcing Link,
,,,,,,,,,,,,
I/O ,,,,,,,,,,,,
"80/20 button head nuts (packs of 25, x2)","End-feed single nuts for T-Slotted framing: T-Slotted Framing, End-Feed Single Nut, 1/4""-20 Thread",47065T905,Fixing and framing,,25,2,$5.62 ,$0.22 ,$11.24 ,$0.00 ,https://www.mcmaster.com/47065T905/,
"Button-head hex screws, pack of 50","BHCS_0.25-20x0.412_SS: 18-8 Stainless Steel Button Head Hex Drive Screw, 1/4""-20 Thread Size, 7/16"" Long, Pack of 50",92949A833,Fixing and framing,,50,1,$6.03 ,$0.12 ,$6.03 ,$0.00 ,https://www.mcmaster.com/92949A833/,
"Socket head screw, pack of 100","SHCS_M3_X_0.5_6MM_SS: 18-8 Stainless Steel Socket Head Screw, M3 x 0.5 mm Thread, 6 mm Long, pack of 100",91292A111,Fixing and framing,,100,1,$9.66 ,$0.10 ,$9.66 ,$0.00 ,https://www.mcmaster.com/91292A111/,
"Button head screws (long), pack of 10","BHCS_10-32_X_2_SS: 18-8 Stainless Steel Button Head Hex Drive Screw, 10-32 Thread Size, 2"" Long, pack of 10",92949A275,Fixing and framing,,10,1,$2.65 ,$0.27 ,$2.65 ,$0.00 ,https://www.mcmaster.com/92949A275/,
"Button head screws (short), pack of 25","BHCS_M6_X_1_8MM_SS: Button Head Hex Drive Screw, Passivated 18-8 Stainless Steel, M6 x 1 mm Thread, 8mm Long, pack of 25",92095A239,Fixing and framing,,25,1,$8.40 ,$0.34 ,$8.40 ,$0.00 ,https://www.mcmaster.com/92095A239/,
HDPE sheeting,"Moisture-Resistant HDPE Sheet, 12"" x 48"" x 1/16""",8619K423,Fixing and framing,2,1,2,$10.64 ,$10.64 ,$21.28 ,$21.28 ,https://www.mcmaster.com/8619K423,
Lifting handle,"LIFTING_HANDLE: Oval Pull Handle, Unthreaded Hole, Black Aluminum, 4-9/16"" Center-to-Center Width",5190A21,Fixing and framing,2,1,2,$14.38 ,$14.38 ,$28.76 ,$28.76 ,https://www.mcmaster.com/5190A21/,
Screws for lifting handle,"SHCS_0.25-20x0.75_Gr8_ASTM_F1136, pack of 50",91274A164,Fixing and framing,,50,1,$9.69 ,$0.19 ,$9.69 ,$0.00 ,https://www.mcmaster.com/91274A164/,
Leveling mount (4 feet),"TLA_LEVELING_MOUNT: Light Duty Leveling Mount, 1"" Long 1/4""-20 Threaded Stud, pack of 4",23015T82,Fixing and framing,1,4,1,$1.89 ,$0.47 ,$1.89 ,$0.47 ,https://www.mcmaster.com/23015T82/,
Nuts for leveling mount,"LN_THIN_0.25-20_STAINLESS: 18-8 Stainless Steel Thin Hex Nut, 1/4""-20 Thread Size, pack of 100",91847A029,Fixing and framing,,100,1,$4.41 ,$0.04 ,$4.41 ,$0.00 ,https://www.mcmaster.com/91847A029/,
PETG for 3d printing,~1 kg spool of PETG,,Tubing/Adapters,1,1,1,$30.00 ,$30.00 ,$30.00 ,$30.00 ,,
,,,,,,,,,,,Structural,$329 
Electronics,,,,,,,,,,,,
Standoffs,Standoffs & Spacers 4.5 HEX 12.0mm ALUM,,Electronics,,,50,$0.45 ,,$22.50 ,$0.00 ,https://www.mouser.com/ProductDetail/Keystone-Electronics/24424?qs=%2Fha2pyFadujGjYnOBX3ZIG5%252BNlfnctDXUaVF01IeI1E%3D,
Meanwell DC Power Supply,DIN Rail Power Supplies 150W 24V 5A EN55022 Class B,,Electronics,1,1,1,$30.66 ,,$30.66 ,$0.00 ,https://www.mouser.com/ProductDetail/MEAN-WELL/NDR-120-24?qs=sGAEpiMZZMvkjJSSRowFE%252BMaPtHpNQit89EjeOStv9CBsXX2JvUmCQ%3D%3D,
DIN Rail,"Aluminum DIN 3 Rail, 10mm Deep, 1m Long",8961K17,Electronics,1,1,1,$7.74 ,,$7.74 ,$0.00 ,https://www.mcmaster.com/8961K17/,
DIN washers,"W_0.25_FLAT_THICK_GR8_YELLOW_ZINC: Zinc Yellow-Chromate Plated Steel Oversized Washer, Grade 8, for 1/4"" Screw Size, 0.281"" ID, 0.625"" OD, package of 100",98025A029,Electronics,6,100,1,$13.94 ,,$13.94 ,$0.00 ,https://www.mcmaster.com/98025A029/,
Sensor board (excluding pressure sensors),,,,,,,,,,,,
2-layer PCB,Advanced Circuits 2 layer board,,Electronics,1,3,3,$33.00 ,,$99.00 ,$33.00 ,https://www.4pcb.com/pcb-prototype-2-4-layer-boards-specials.html,
12-bit ADC,Adafruit Data Conversion IC Development Tools ADS1015 Breakout 12-Bit ADC,,Electronics,1,1,1,$9.95 ,,$10.00 ,$9.95 ,https://www.mouser.com/ProductDetail/Adafruit/1083?qs=GURawfaeGuCmI2li4B6pKg%3D%3D,
Voltage splitter U1,"TL7660, 8-DIP package",,Electronics,1,1,1,$1.55 ,,$2.00 ,$1.55 ,https://www.digikey.com/product-detail/en/texas-instruments/TL7660CP/296-21857-5-ND/1629031,
Instrumentation amplifier U2,"INA126PA, 8-DIP package",,Electronics,1,1,1,$3.18 ,,$4.00 ,$3.18 ,https://www.digikey.com/product-detail/en/texas-instruments/INA126PA/INA126PA-ND/300992,
"R3, sensor",,,,,,,,,$0.00 ,,,
40 pin Pi header J1,Raspberry pi 40 pin stacking header,,Electronics,1,1,1,$2.95 ,,$3.00 ,$2.95 ,https://www.digikey.com/product-detail/en/adafruit-industries-llc/1979/1528-1783-ND/6238003,
4x1 header J2,male pin header 1x04 P2.54mm,,Electronics,360 pins,4 pins,1,$4.95 ,,$5.00 ,$0.06 ,https://www.digikey.com/product-detail/en/adafruit-industries-llc/4150/1528-2922-ND/10123801,
2x1 header J3,male pin header 1x02 P2.54mm,,Electronics,360 pins,2 pins,1,$4.95 ,,$5.00 ,$0.03 ,,
Oxygen sensor cable (J4),"3 pin fan cable extension, 36"", ribbon style",,Electronics,,,1,$1.99 ,,$2.00 ,$1.99 ,https://www.coolerguys.com/products/3-pin-fan-cable-extension-12-thru-72-inches?variant=17666421509,
330 Ohm resistor R1,"330 Ohm resistor, through hole, 1/4 Watt",,Electronics,1,1,1,$0.10 ,,$1.00 ,$0.10 ,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT330R/CF14JT330RCT-ND/1830338,
"Capacitors C1,C2","10 uF, 25V, electrolytic radial",,Electronics,1,1,1,$0.21 ,,$1.00 ,$0.21 ,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ECA-1EM100B/P19522CT-ND/6109420,
Actuator board,,,,,,,,,,,,
2-layer PCB,Advanced Circuits 2 layer board,,Electronics,1,3,3,$33.00 ,,$99.00 ,$33.00 ,https://www.4pcb.com/pcb-prototype-2-4-layer-boards-specials.html,
5V DC/DC Converter,490-PDQE15-Q24-S5-D,,Electronics,1,1,1,$19.12 ,,$20.00 ,$19.12 ,https://www.mouser.com/ProductDetail/CUI-Inc/PDQE15-Q24-S5-D?qs=%2Fha2pyFaduiL94u0Ef2I7K4U1Mc9B6IPlz0S4%252BeNn6w9pBF%2FNnZWZTmWI4mUuuL4,
Darlington array U1,ULN2003AN IC PWR RELAY 7NPN 1:1 16DIP,,Electronics,1,1,2,$0.66 ,,$2.00 ,$1.32 ,https://www.mouser.com/ProductDetail/Texas-Instruments/ULN2003AN?qs=FOlmdCx%252BAA1wYQ1G8c8hpQ%3D%3D,
40 pin Pi header J1,Raspberry pi 40 pin stacking header,,Electronics,1,1,1,$2.95 ,,$3.00 ,$2.95 ,https://www.digikey.com/product-detail/en/adafruit-industries-llc/1979/1528-1783-ND/6238003,
"Screw terminals J2, J3, J4","5.08 mm pitch 2-pin screw terminal block connector, PCB mount",,Electronics,1,1,3,$1.04 ,,$4.00 ,$3.12 ,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/282837-2/A113320-ND/2187973,
